Day Index,Pageviews,Avg. Time on Page,Bounce Rate,Unique Pageviews
5/9/16,"8,505",0:04:19,82.57%,"7,363"
5/10/16,"9,462",0:04:06,82.65%,"8,191"
5/11/16,"8,958",0:04:05,82.79%,"7,766"
5/12/16,"8,624",0:03:51,83.26%,"7,566"
5/13/16,"7,557",0:04:12,83.08%,"6,583"
5/14/16,"5,237",0:04:31,81.44%,"4,470"
5/15/16,"6,798",0:03:45,81.74%,"5,899"
5/16/16,"9,344",0:04:16,82.62%,"8,179"
5/17/16,"8,965",0:04:27,82.35%,"7,873"
5/18/16,"8,446",0:04:17,82.91%,"7,404"
5/19/16,"8,196",0:04:24,83.68%,"7,190"
5/20/16,"7,870",0:04:08,83.21%,"6,866"
5/21/16,"5,758",0:03:54,82.69%,"4,963"
5/22/16,"6,232",0:04:00,82.10%,"5,413"
5/23/16,"10,000",0:04:20,82.16%,"8,677"
5/24/16,"10,656",0:04:04,82.70%,"9,305"
5/25/16,"9,577",0:04:03,82.68%,"8,323"
5/26/16,"9,338",0:03:57,82.84%,"8,064"
5/27/16,"7,827",0:04:16,82.18%,"6,830"
5/28/16,"5,263",0:04:07,80.42%,"4,544"
5/29/16,"5,970",0:04:14,82.15%,"5,167"
5/30/16,"8,567",0:03:13,82.45%,"7,074"
5/31/16,"8,986",0:04:06,82.81%,"7,854"
6/1/16,"8,708",0:04:14,82.99%,"7,549"
6/2/16,"9,126",0:04:24,83.05%,"8,017"
6/3/16,"7,649",0:04:06,83.16%,"6,697"
6/4/16,"5,537",0:03:55,79.81%,"4,709"
6/5/16,"5,973",0:03:56,81.46%,"5,180"
6/6/16,"8,940",0:04:08,83.64%,"7,839"
6/7/16,"8,962",0:04:23,83.02%,"7,861"
6/8/16,"8,874",0:04:06,82.78%,"7,786"
6/9/16,"8,537",0:04:27,82.11%,"7,487"
6/10/16,"10,646",0:03:57,85.05%,"9,304"
6/11/16,"6,527",0:03:53,83.31%,"5,638"
6/12/16,"6,533",0:03:53,81.49%,"5,599"
6/13/16,"9,045",0:04:12,83.29%,"7,919"
6/14/16,"8,942",0:04:19,83.35%,"7,752"
6/15/16,"8,769",0:04:21,82.81%,"7,609"
6/16/16,"8,814",0:04:18,82.45%,"7,639"
6/17/16,"7,801",0:04:10,82.29%,"6,754"
6/18/16,"5,844",0:04:00,80.82%,"4,970"
6/19/16,"6,111",0:03:56,82.29%,"5,359"
6/20/16,"9,780",0:04:10,83.47%,"8,616"
6/21/16,"9,602",0:04:19,83.22%,"8,407"
6/22/16,"9,413",0:04:10,82.80%,"8,239"
6/23/16,"8,716",0:04:42,82.75%,"7,577"
6/24/16,"7,266",0:04:32,83.38%,"6,324"
6/25/16,"5,044",0:04:17,82.80%,"4,418"
6/26/16,"5,877",0:04:43,82.42%,"5,120"
6/27/16,"9,932",0:04:08,82.35%,"8,568"
6/28/16,"9,484",0:04:26,82.44%,"8,226"
6/29/16,"9,306",0:04:07,83.42%,"8,057"
